"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Synpcc7942_0124",447.996534056921,-1.35774678695581,0.449658906682102,-3.01950382118352,0.00253189099128565,0.0132924277042497
"Synpcc7942_0129",477.100124401059,-1.27268822622158,0.481296594962589,-2.64429094147343,0.00818622582724732,0.0304925478788668
"Synpcc7942_0131",6319.67803832349,-1.32082840882637,0.491340077942757,-2.68821630500138,0.00718348469599271,0.0279362627289218
"Synpcc7942_0137",1219.89806128156,1.49547856256613,0.609250875527328,2.4546186515887,0.0141034113250313,0.0443036490033669
"Synpcc7942_0138",429.061412057569,1.66631870755798,0.605355312145812,2.75262919829902,0.00591188141843772,0.0244071017693087
"Synpcc7942_0143",1830.21088549631,1.91923272395072,0.778730549454162,2.46456585695267,0.0137179351610396,0.0436063564654263
"Synpcc7942_0147",492.878683824042,-1.85878078448172,0.413986436646398,-4.48995575685823,7.12379687314958e-06,0.000154464766347073
"Synpcc7942_0152",811.829294958394,1.51236356707925,0.550300819156581,2.74824880216819,0.0059914525206231,0.0245456280683592
"Synpcc7942_0156",2049.059737588,1.58681941052188,0.436059491151866,3.63899752836533,0.000273701426083849,0.00256126913461623
"Synpcc7942_0158",2509.78141663125,2.01968003067932,0.704782557404067,2.8656782286418,0.00416116962808965,0.0187463503346539
